query_type	relation	query	correct output	system output	ssg output	Exact Match	Soft Match
min/max	P54	What is the smallest team?	['Evagoras Paphos', 'Czech Republic', 'Albania', 'Ayia Napa', 'Hungary']	[[0], [1], [3], [4], [6]]	[[[0, 'Cypriot First Division team Evagoras Paphos']], [[4, 'Cypriot First Division team Ayia Napa']], [[0, 'Cypriot First Division team Evagoras Paphos'], [3, 'UEFA Euro 2016 team Albania']], [[4, 'Cypriot First Division team Ayia Napa'], [3, 'UEFA Euro 2016 team Albania']]]	0	1
bool	P54	Is UEFA Euro 2016 part of Omonia Aradippou?	['FALSE']	[[1], [2], [7]]	[[[0, 'Cypriot First Division team Evagoras Paphos'], [1, 'UEFA Euro 2016 team Czech Republic']], [[0, 'Cypriot First Division team Evagoras Paphos'], [2, 'UEFA Euro 2016 team Italy']], [[0, 'Cypriot First Division team Evagoras Paphos'], [3, 'UEFA Euro 2016 team Albania']], [[0, 'Cypriot First Division team Evagoras Paphos'], [5, 'UEFA Euro 2016 team Switzerland']], [[0, 'Cypriot First Division team Evagoras Paphos'], [6, 'UEFA Euro 2016 team Hungary']], [[0, 'Cypriot First Division team Evagoras Paphos'], [7, 'UEFA Euro 2016 team Northern Ireland']], [[0, 'Cypriot First Division team Evagoras Paphos'], [9, 'UEFA Euro 2016 team Ukraine']], [[1, 'UEFA Euro 2016 team Czech Republic'], [2, 'UEFA Euro 2016 team Italy']], [[1, 'UEFA Euro 2016 team Czech Republic'], [3, 'UEFA Euro 2016 team Albania']], [[1, 'UEFA Euro 2016 team Czech Republic'], [5, 'UEFA Euro 2016 team Switzerland']], [[1, 'UEFA Euro 2016 team Czech Republic'], [6, 'UEFA Euro 2016 team Hungary']], [[1, 'UEFA Euro 2016 team Czech Republic'], [7, 'UEFA Euro 2016 team Northern Ireland']], [[1, 'UEFA Euro 2016 team Czech Republic'], [9, 'UEFA Euro 2016 team Ukraine']], [[2, 'UEFA Euro 2016 team Italy'], [3, 'UEFA Euro 2016 team Albania']], [[2, 'UEFA Euro 2016 team Italy'], [5, 'UEFA Euro 2016 team Switzerland']], [[2, 'UEFA Euro 2016 team Italy'], [6, 'UEFA Euro 2016 team Hungary']], [[2, 'UEFA Euro 2016 team Italy'], [7, 'UEFA Euro 2016 team Northern Ireland']], [[2, 'UEFA Euro 2016 team Italy'], [9, 'UEFA Euro 2016 team Ukraine']], [[3, 'UEFA Euro 2016 team Albania'], [5, 'UEFA Euro 2016 team Switzerland']], [[3, 'UEFA Euro 2016 team Albania'], [6, 'UEFA Euro 2016 team Hungary']], [[3, 'UEFA Euro 2016 team Albania'], [7, 'UEFA Euro 2016 team Northern Ireland']], [[3, 'UEFA Euro 2016 team Albania'], [9, 'UEFA Euro 2016 team Ukraine']], [[5, 'UEFA Euro 2016 team Switzerland'], [6, 'UEFA Euro 2016 team Hungary']], [[5, 'UEFA Euro 2016 team Switzerland'], [7, 'UEFA Euro 2016 team Northern Ireland']], [[5, 'UEFA Euro 2016 team Switzerland'], [9, 'UEFA Euro 2016 team Ukraine']], [[6, 'UEFA Euro 2016 team Hungary'], [7, 'UEFA Euro 2016 team Northern Ireland']], [[6, 'UEFA Euro 2016 team Hungary'], [9, 'UEFA Euro 2016 team Ukraine']], [[7, 'UEFA Euro 2016 team Northern Ireland'], [9, 'UEFA Euro 2016 team Ukraine']], [[8, 'Cypriot First Division team Omonia Aradippou'], [1, 'UEFA Euro 2016 team Czech Republic']], [[8, 'Cypriot First Division team Omonia Aradippou'], [2, 'UEFA Euro 2016 team Italy']], [[8, 'Cypriot First Division team Omonia Aradippou'], [3, 'UEFA Euro 2016 team Albania']], [[8, 'Cypriot First Division team Omonia Aradippou'], [5, 'UEFA Euro 2016 team Switzerland']], [[8, 'Cypriot First Division team Omonia Aradippou'], [6, 'UEFA Euro 2016 team Hungary']], [[8, 'Cypriot First Division team Omonia Aradippou'], [7, 'UEFA Euro 2016 team Northern Ireland']], [[8, 'Cypriot First Division team Omonia Aradippou'], [9, 'UEFA Euro 2016 team Ukraine']]]	0	1
count	P54	How many teams has UEFA Euro 2016 played for?	[6]	[[1], [3], [5], [6], [7], [9]]	[[[1, 'UEFA Euro 2016 team Czech Republic']], [[3, 'UEFA Euro 2016 team Albania']], [[6, 'UEFA Euro 2016 team Hungary']], [[7, 'UEFA Euro 2016 team Northern Ireland']], [[1, 'UEFA Euro 2016 team Czech Republic'], [2, 'UEFA Euro 2016 team Italy']], [[1, 'UEFA Euro 2016 team Czech Republic'], [3, 'UEFA Euro 2016 team Albania']], [[1, 'UEFA Euro 2016 team Czech Republic'], [5, 'UEFA Euro 2016 team Switzerland']], [[1, 'UEFA Euro 2016 team Czech Republic'], [6, 'UEFA Euro 2016 team Hungary']], [[1, 'UEFA Euro 2016 team Czech Republic'], [7, 'UEFA Euro 2016 team Northern Ireland']], [[1, 'UEFA Euro 2016 team Czech Republic'], [9, 'UEFA Euro 2016 team Ukraine']], [[2, 'UEFA Euro 2016 team Italy'], [3, 'UEFA Euro 2016 team Albania']], [[2, 'UEFA Euro 2016 team Italy'], [5, 'UEFA Euro 2016 team Switzerland']], [[2, 'UEFA Euro 2016 team Italy'], [6, 'UEFA Euro 2016 team Hungary']], [[2, 'UEFA Euro 2016 team Italy'], [7, 'UEFA Euro 2016 team Northern Ireland']], [[2, 'UEFA Euro 2016 team Italy'], [9, 'UEFA Euro 2016 team Ukraine']], [[3, 'UEFA Euro 2016 team Albania'], [5, 'UEFA Euro 2016 team Switzerland']], [[3, 'UEFA Euro 2016 team Albania'], [6, 'UEFA Euro 2016 team Hungary']], [[3, 'UEFA Euro 2016 team Albania'], [7, 'UEFA Euro 2016 team Northern Ireland']], [[3, 'UEFA Euro 2016 team Albania'], [9, 'UEFA Euro 2016 team Ukraine']], [[5, 'UEFA Euro 2016 team Switzerland'], [6, 'UEFA Euro 2016 team Hungary']], [[5, 'UEFA Euro 2016 team Switzerland'], [7, 'UEFA Euro 2016 team Northern Ireland']], [[5, 'UEFA Euro 2016 team Switzerland'], [9, 'UEFA Euro 2016 team Ukraine']], [[6, 'UEFA Euro 2016 team Hungary'], [7, 'UEFA Euro 2016 team Northern Ireland']], [[6, 'UEFA Euro 2016 team Hungary'], [9, 'UEFA Euro 2016 team Ukraine']], [[7, 'UEFA Euro 2016 team Northern Ireland'], [9, 'UEFA Euro 2016 team Ukraine']]]	0	1
set	P54	Who plays for Switzerland?	['UEFA Euro 2016']	[[5]]	[[[5, 'UEFA Euro 2016 team Switzerland']], [[5, 'UEFA Euro 2016 team Switzerland'], [1, 'UEFA Euro 2016 team Czech Republic']], [[5, 'UEFA Euro 2016 team Switzerland'], [2, 'UEFA Euro 2016 team Italy']], [[5, 'UEFA Euro 2016 team Switzerland'], [3, 'UEFA Euro 2016 team Albania']], [[5, 'UEFA Euro 2016 team Switzerland'], [6, 'UEFA Euro 2016 team Hungary']], [[5, 'UEFA Euro 2016 team Switzerland'], [7, 'UEFA Euro 2016 team Northern Ireland']]]	1	1
count	P54	How many teams has 2013 FIA World Endurance Championship played for?	[3]	[[1], [2], [4]]	[[[1, '2013 FIA World Endurance Championship team Lotus']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[4, '2013 FIA World Endurance Championship team AF Corse']], [[5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[1, '2013 FIA World Endurance Championship team Lotus'], [2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[1, '2013 FIA World Endurance Championship team Lotus'], [4, '2013 FIA World Endurance Championship team AF Corse']], [[1, '2013 FIA World Endurance Championship team Lotus'], [5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [4, '2013 FIA World Endurance Championship team AF Corse']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[4, '2013 FIA World Endurance Championship team AF Corse'], [5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']]]	1	1
set	P54	Who is a member of G-Drive Racing?	[]	None	[[]]	0	0
count	P54	How many people play for OAK Racing?	[1]	None	[[]]	0	0
bool	P54	Is 2013 FIA World Endurance Championship a member of FC Metalurh Donetsk?	['FALSE']	[[1], [2], [5]]	[[[1, '2013 FIA World Endurance Championship team Lotus']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[4, '2013 FIA World Endurance Championship team AF Corse']], [[5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[6, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[1, '2013 FIA World Endurance Championship team Lotus'], [2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[1, '2013 FIA World Endurance Championship team Lotus'], [4, '2013 FIA World Endurance Championship team AF Corse']], [[1, '2013 FIA World Endurance Championship team Lotus'], [5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[1, '2013 FIA World Endurance Championship team Lotus'], [6, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [4, '2013 FIA World Endurance Championship team AF Corse']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [6, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[4, '2013 FIA World Endurance Championship team AF Corse'], [5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[4, '2013 FIA World Endurance Championship team AF Corse'], [6, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[5, '2013 FIA World Endurance Championship team Audi Sport Team Joest'], [6, '2013 FIA World Endurance Championship team Aston Martin Racing']]]	1	1
bool	P54	Is 2013 FIA World Endurance Championship part of Cofidis?	['FALSE']	[[4], [6], [7]]	[[[1, '2013 FIA World Endurance Championship team Lotus']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[4, '2013 FIA World Endurance Championship team AF Corse']], [[5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[6, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[7, '2013 FIA World Endurance Championship team Greaves Motorsport']], [[8, '2013 FIA World Endurance Championship team OAK Racing']], [[1, '2013 FIA World Endurance Championship team Lotus'], [2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[1, '2013 FIA World Endurance Championship team Lotus'], [4, '2013 FIA World Endurance Championship team AF Corse']], [[1, '2013 FIA World Endurance Championship team Lotus'], [5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[1, '2013 FIA World Endurance Championship team Lotus'], [6, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[1, '2013 FIA World Endurance Championship team Lotus'], [7, '2013 FIA World Endurance Championship team Greaves Motorsport']], [[1, '2013 FIA World Endurance Championship team Lotus'], [8, '2013 FIA World Endurance Championship team OAK Racing']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [4, '2013 FIA World Endurance Championship team AF Corse']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [6, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [7, '2013 FIA World Endurance Championship team Greaves Motorsport']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [8, '2013 FIA World Endurance Championship team OAK Racing']], [[4, '2013 FIA World Endurance Championship team AF Corse'], [5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[4, '2013 FIA World Endurance Championship team AF Corse'], [6, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[4, '2013 FIA World Endurance Championship team AF Corse'], [7, '2013 FIA World Endurance Championship team Greaves Motorsport']], [[4, '2013 FIA World Endurance Championship team AF Corse'], [8, '2013 FIA World Endurance Championship team OAK Racing']], [[5, '2013 FIA World Endurance Championship team Audi Sport Team Joest'], [6, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[5, '2013 FIA World Endurance Championship team Audi Sport Team Joest'], [7, '2013 FIA World Endurance Championship team Greaves Motorsport']], [[5, '2013 FIA World Endurance Championship team Audi Sport Team Joest'], [8, '2013 FIA World Endurance Championship team OAK Racing']], [[6, '2013 FIA World Endurance Championship team Aston Martin Racing'], [7, '2013 FIA World Endurance Championship team Greaves Motorsport']], [[6, '2013 FIA World Endurance Championship team Aston Martin Racing'], [8, '2013 FIA World Endurance Championship team OAK Racing']], [[7, '2013 FIA World Endurance Championship team Greaves Motorsport'], [8, '2013 FIA World Endurance Championship team OAK Racing']]]	1	1
bool	P54	Does National Hockey League play for Detroit Red Wings?	['TRUE']	[[4]]	[[[0, 'National Hockey League team Edmonton Oilers'], [1, 'National Hockey League team Montreal Canadiens']], [[0, 'National Hockey League team Edmonton Oilers'], [2, 'National Hockey League team New York Rangers']], [[0, 'National Hockey League team Edmonton Oilers'], [3, 'Mexico City league NBA G League']], [[0, 'National Hockey League team Edmonton Oilers'], [4, 'National Hockey League team Detroit Red Wings']], [[1, 'National Hockey League team Montreal Canadiens'], [2, 'National Hockey League team New York Rangers']], [[1, 'National Hockey League team Montreal Canadiens'], [3, 'Mexico City league NBA G League']], [[1, 'National Hockey League team Montreal Canadiens'], [4, 'National Hockey League team Detroit Red Wings']], [[2, 'National Hockey League team New York Rangers'], [3, 'Mexico City league NBA G League']], [[2, 'National Hockey League team New York Rangers'], [4, 'National Hockey League team Detroit Red Wings']], [[3, 'Mexico City league NBA G League'], [4, 'National Hockey League team Detroit Red Wings']]]	0	1
