query_type	relation	query	correct output	system output	ssg output	Exact Match	Soft Match
min/max	P69	What is the most popular university?	['Jaffna Hindu College', 'Polytechnic University of the Philippines']	None	[[[1, 'Born on 28 August 1976 in Vaddukoddai, Nediyavan, a member of the Liberation Tigers of Tamil Eelam, is a human being who attended Jaffna Hindu College.']]]	0	0
min/max	P21	Which gender has the most people?	['male connector']	[[1], [4]]	[[[1, 'Born on 28 August 1976 in Vaddukoddai, Nediyavan, a member of the Liberation Tigers of Tamil Eelam, is a human being who attended Jaffna Hindu College.']], [[4, 'Matt Ingram was born in High Wycombe, United Kingdom on 18 December 1993 . He is an association Football player and he is a man.']]]	1	1
min/max	P27	Which country has the fewest number of citizens?	[]	[]	[[[1, 'Born on 28 August 1976 in Vaddukoddai, Nediyavan, a member of the Liberation Tigers of Tamil Eelam, is a human being who attended Jaffna Hindu College.']]]	1	1
set	P1110	What was the attendance of 1930 Coupe de France Final?	[35000.0]	[[0]]	[[[0, 'The attendance at the 1930 Coupe de France Final was +35000.']]]	1	1
bool	P27	Is Su Tong a citizen of Canada?	['FALSE']	[[7]]	"[[[4, 'Robert Baer was born in Los Angeles on July 1, 1952 . He is a Screenwriter and non-fiction writer . He was also an intelligence agent.']], [[6, ""Canada ice hockey player Jim Cross was born in Edmonton on February 6, 1957 . He competed in the men's ice hockey at the 1980 Winter Olympics.""]], [[7, 'Su Tong was born in Suzhou, China on 23 January 1963 . He is a Writer and ScreenWriter . He is a man.']], [[9, 'Peter Löscher is the name given to the human being Peter. He graduated from the Vienna University of Economics and Business and was awarded the Great Golden Medal of Honour for Services to the Republic of Austria. He was also awarded the Order of Friendship.']]]"	1	1
set	P106	What is Su Tong's job?	[]	[]	[[[4, 'Robert Baer was born in Los Angeles on July 1, 1952 . He is a Screenwriter and non-fiction writer . He was also an intelligence agent.']]]	1	1
set	P19	List everyone born in Potsdam	['Denis Prychynenko']	[[1]]	"[[[1, 'Denis Prychynenko was born in Potsdam, Germany.']], [[6, ""Canada ice hockey player Jim Cross was born in Edmonton on February 6, 1957 . He competed in the men's ice hockey at the 1980 Winter Olympics.""]], [[7, 'Su Tong was born in Suzhou, China on 23 January 1963 . He is a Writer and ScreenWriter . He is a man.']], [[9, 'Peter Löscher is the name given to the human being Peter. He graduated from the Vienna University of Economics and Business and was awarded the Great Golden Medal of Honour for Services to the Republic of Austria. He was also awarded the Order of Friendship.']]]"	1	1
min/max	P69	What university has the highest population?	['Vienna University of Economics and Business']	None	[[[2, 'The Canton of Olivet has a population of 30117.']], [[3, 'The population of Melbourne City Centre is 47285.']], [[5, 'Moosthenning has a population of 3736.']], [[8, 'The population of Dolní Pěna is +298.']]]	0	0
min/max	P1082	Which place has the smallest population?	['Dolní Pěna']	[[2], [3], [5], [8]]	[[[2, 'The Canton of Olivet has a population of 30117.']], [[3, 'The population of Melbourne City Centre is 47285.']], [[4, 'Robert Baer was born in Los Angeles on July 1, 1952 . He is a Screenwriter and non-fiction writer . He was also an intelligence agent.']], [[5, 'Moosthenning has a population of 3736.']], [[8, 'The population of Dolní Pěna is +298.']]]	1	1
bool	P69	Was the alma mater of Peter Löscher Vienna University of Economics and Business?	['TRUE']	None	[[]]	0	0
bool	P19	Was Edmonton the birthplace of Denis Prychynenko?	[]	None	[[]]	0	0
min/max	P47	What is the place with the maximum number of borders?	['Berthenay', 'Villandry']	[[6]]	[[[4, 'The population of Barcelona is 1582738.']], [[6, 'The neighbouring commune of Villandry is Berthenay.']]]	1	1
count	P47	How many places share border with Villandry?	[]	None	[[]]	0	0
count	P118	How many participants are there in Southern Professional Hockey League?	[1]	[[9]]	[[[8, 'Pali Blues league W-League'], [1, 'Mexico City league Liga de Fútbol Americano Profesional']], [[8, 'Pali Blues league W-League'], [9, 'Alabama league Southern Professional Hockey League']]]	0	1
count	P118	How many leagues has Pali Blues played for?	[1]	[[8]]	[[[1, 'Mexico City league Liga de Fútbol Americano Profesional']], [[1, 'Mexico City league Liga de Fútbol Americano Profesional'], [8, 'Pali Blues league W-League']], [[9, 'Alabama league Southern Professional Hockey League'], [8, 'Pali Blues league W-League']]]	0	1
set	P47	Which places share a border with Fresse?	['Plancher-les-Mines']	[[6]]	[[[6, 'Plancher-les-Mines is located in the Fresse commune.']]]	1	1
count	P54	How many teams has Raffaele Imparato played for?	[1]	[[4]]	[[[4, 'Raffaele Imparato played for Taranto F.C. 1927.']], [[9, 'Gemma Davison played for Chicago Red Eleven. She began her career on January 1st, 2009.']], [[5, 'Pali Blues league W-League'], [7, 'Pali Blues league W-League']], [[5, 'Pali Blues league W-League'], [9, 'Gemma Davison played for Chicago Red Eleven. She began her career on January 1st, 2009.']], [[7, 'Pali Blues league W-League'], [9, 'Gemma Davison played for Chicago Red Eleven. She began her career on January 1st, 2009.']]]	1	1
bool	P54	Is Gemma Davison part of Taranto F.C. 1927?	['FALSE']	None	[[[4, 'Raffaele Imparato played for Taranto F.C. 1927.']]]	0	0
bool	P106	Is Joanne Henke an Actor?	['FALSE']	[[3]]	"[[[3, ""Joanne Henke was born on 5 November 1958 in Australia. She is an alpine skier who competed in the 1976 Winter Olympics and was a competitor in the women's alpine skiing.""]]]"	1	1
set	P106	Who has a career as a Record producer?	[]	[]	[[[0, 'DJ Trevi was born in the United States on 27 June 1990 . He is a Disc jockey and Actor . He is a Record producer and he is a man.']]]	1	1
min/max	P1082	What is the largest population?	[10873.0]	[[1], [2], [7], [9]]	[[[1, 'Santa María del Invierno has a population of +69.']], [[2, 'The population of Mukhorshibir is 5128.']], [[7, 'Estiva Gerbi has a population of 10873.']], [[9, 'Brumov-Bylnice has a population of 3824.']]]	1	1
min/max	P54	Which team has the least players?	['North Dakota State Bison football']	None	[[]]	0	0
set	P54	Who plays for North Dakota State Bison football?	[]	None	[[]]	0	0
count	P69	Whow many people study?	[1]	[[1]]	[[[1, 'Aiyaz Sayed-Khaiyum graduated from the University of Wollongong.']], [[3, 'Kota Harinarayana graduated from Banaras Hindu University. He was a student at the Indian Institute of Science and was awarded the Padma Shri in Science & Engineering.']]]	1	1
count	P69	How many people graduated from Banaras Hindu University?	[1]	[[3]]	"[[[1, 'Aiyaz Sayed-Khaiyum graduated from the University of Wollongong.']], [[3, 'Kota Harinarayana graduated from Banaras Hindu University. He was a student at the Indian Institute of Science and was awarded the Padma Shri in Science & Engineering.']], [[4, ""Faith Osier attended the University of Liverpool, where she graduated with a master's degree.""]]]"	1	1
count	P106	How many people are Athlete?	[1]	[[8]]	[[[3, 'Kota Harinarayana graduated from Banaras Hindu University. He was a student at the Indian Institute of Science and was awarded the Padma Shri in Science & Engineering.']], [[8, 'Gary Barta was born on 4 September 1963 in the United States . He attended North Dakota State University and was a member of the North Dakota State Bison football team . Mr. Barta is an Athlete.']]]	1	1
min/max	P47	What is the place with the maximum number of borders?	['Lafage-sur-Sombre', 'Saint-Hilaire-Foissac']	[[0]]	[[[0, 'Lafage-sur-Sombre is a neighbour to Saint-Hilaire-Foissac.']]]	1	1
min/max	P21	Which gender has the most people?	[]	None	[[]]	0	0
bool	P118	Is FC Spartak Varna a participant of League?	['TRUE']	None	[[[9, 'Armen Shahgeldyan played for FC Lausanne-Sport, from 1998 to 2000.']]]	0	0
set	P1110	What were the attendances of all events?	[]	None	[[]]	0	0
count	P54	How many teams has Rebecca Stenberg played for?	[1]	[[8]]	[[[8, 'Rebecca Stenberg (given name Rebecca) is a member of the Luleå HF team, a human being.']]]	1	1
count	P1110	How many people went to +21523?	[]	None	[[]]	0	0
bool	P106	Is Matt Ingram's job a beauty pageant contestant?	['FALSE']	None	[[[0, 'Parvathy Omanakuttan was born in Changanassery, India on 20 December 1987 . He is an Indian model and Actor . He was also a beauty pageant contestant.']], [[7, 'Kauiza Venancio was born in Curitiba on June 11th 1987. She is a female track and field athlete from Brazil who competed in the Athletics at the 2016 Summer Olympics.']]]	0	0
bool	P19	Was Inwa the birthplace of Kauiza Venancio?	[]	None	[[]]	0	0
min/max	P21	Which gender has the most people?	['male connector', 'female connector']	[[2], [3], [6], [7]]	[[[2, 'Hezekiah Bissell was born in 1835 in the United States and graduated from Yale School of Engineering & Applied Science . Hezekiah Bissell was a Civil engineer and he was a man of great ability.']], [[3, 'Saw Khway of Ava was a woman who was born in Inwa. She was a human being who was married to Minkhaung I.']], [[6, 'Matt Ingram was born in High Wycombe, United Kingdom on 18 December 1993 . He is an association Football player and he is a man.']]]	0	1
min/max	P54	Who has played for the most number of teams?	['UEFA Euro 2016', 'Georgia national football team']	[[1, 4, 9], [5]]	[[[5, 'Georgia national football team team Romania']], [[5, 'Georgia national football team team Romania'], [1, 'UEFA Euro 2016 team Romania']], [[5, 'Georgia national football team team Romania'], [4, 'UEFA Euro 2016 team Romania']], [[5, 'Georgia national football team team Romania'], [9, 'UEFA Euro 2016 team Romania']]]	0	1
set	P27	Who has citizenship of Brazil?	['Kauiza Venancio']	None	[[]]	0	0
count	P54	How many teams has FC Girondins de Bordeaux played for?	[1]	[[0]]	[[[0, 'FC Girondins de Bordeaux team Strasbourg']], [[2, 'Pali Blues league W-League'], [4, 'Pali Blues league W-League']]]	1	1
count	P118	How many participants are there in Southern Professional Hockey League?	[]	[]	[[[2, 'Pali Blues league W-League'], [4, 'Pali Blues league W-League']], [[2, 'Pali Blues league W-League'], [7, 'National Hockey League team Anaheim Ducks']], [[4, 'Pali Blues league W-League'], [7, 'National Hockey League team Anaheim Ducks']]]	1	1
count	P118	How many participants are there in Southern Professional Hockey League?	[1]	[[9]]	[[[2, 'Pali Blues league W-League'], [4, 'Pali Blues league W-League']], [[2, 'Pali Blues league W-League'], [7, 'National Hockey League team Anaheim Ducks']], [[2, 'Pali Blues league W-League'], [9, 'Alabama league Southern Professional Hockey League']], [[4, 'Pali Blues league W-League'], [7, 'National Hockey League team Anaheim Ducks']], [[4, 'Pali Blues league W-League'], [9, 'Alabama league Southern Professional Hockey League']], [[7, 'National Hockey League team Anaheim Ducks'], [9, 'Alabama league Southern Professional Hockey League']]]	0	1
set	P21	Who is male connector?	['Daniel Attah', 'Ion Petre Stoican', 'Tim Rerimassie']	[[1], [3], [8]]	"[[[1, ""Tim Rerimassie was born in Nuenen, Kingdom of the Netherlands on 1 September 1996 . He is an association Football player who is a member of the Netherlands men's national football team.""]], [[3, 'Daniel Attah was born November 20, 1978. He is a human being and a boxer. His sport is boxing. He is a man of many talents.']], [[8, 'Ion Petre Stoican, whose name is Ion, is a human being who plays the fiddle. He is a man.']]]"	1	1
set	P19	Where was Tim Rerimassie born?	['Nuenen']	[[1]]	"[[[1, ""Tim Rerimassie was born in Nuenen, Kingdom of the Netherlands on 1 September 1996 . He is an association Football player who is a member of the Netherlands men's national football team.""]], [[3, 'Daniel Attah was born November 20, 1978. He is a human being and a boxer. His sport is boxing. He is a man of many talents.']], [[8, 'Ion Petre Stoican, whose name is Ion, is a human being who plays the fiddle. He is a man.']]]"	1	1
